height,hash,date,pool,versionHex,impliedEhDays,marketCostSats,totalMiningRevenueSats,rentalPnlSats,filterTaxSats,confidence
938903,0000000000000000000161b65dc9cf0adfdad107b801cd87f1dcf0cfbb454654,2026-03-01,"OCEAN",0x20792010,7.14983045,361924417,314757991,,,MEDIUM
942509,000000000000000000017ebc8294dd28e7ce3bccd177bda4492b8e68b7304db9,2026-03-27,"OCEAN",0x21676010,6.40662045,324303127,316266819,,,MEDIUM
942721,00000000000000000000359c90bdfdc26147fc7d56ffd580e857948434d65efd,2026-03-29,"OCEAN",0x3c87a010,6.40662045,324303127,314374268,,,MEDIUM
942906,00000000000000000001225eb99ad8a0951cd2c0062e3f2096ce298612bebc15,2026-03-30,"OCEAN",0x38000010,6.40662045,324303127,315379889,,,MEDIUM
944297,00000000000000000000a071844b072910fb8e7370137a5e945b48bf7988d18c,2026-04-09,"OCEAN",0x27fc2010,7.08334696,358559023,314171765,,,MEDIUM
944981,00000000000000000001f39ec7f5514bf59fe1d23a231d65769f7d581b2b2051,2026-04-14,"OCEAN",0x2e000010,7.08334696,358559023,312997163,,,MEDIUM
950356,0000000000000000000090c87bc61d2263c4332ce719c6245c8e3706447430a9,2026-05-21,"OCEAN",0x20000010,6.67939125,338110785,314620877,,,MEDIUM
950530,00000000000000000000f4dd205c46601cd55c0c4975960545545d2abe3b60bb,2026-05-22,"OCEAN",0x2000e010,6.67939125,338110785,315141711,,,MEDIUM
950606,0000000000000000000001f2fd015cfec5a8afd4168ee398cfb42e1c2094540b,2026-05-23,"OCEAN",0x3fff0010,6.67939125,338110785,312529132,,,MEDIUM
950687,00000000000000000000accaad8ea2bf236a13f31dae6ba761ffe328cc7f05fe,2026-05-23,"OCEAN",0x20000010,6.67939125,338110785,314990155,,,MEDIUM
950879,0000000000000000000192a23f4bb7a1c964de85e3b16ea164d7de34d6425a0c,2026-05-24,"OCEAN",0x25f2c010,6.67939125,338110785,312507014,,,MEDIUM
951118,000000000000000000017b27ae901f16ac0b234d4e3b3c86d48cf3396f494641,2026-05-26,"OCEAN",0x20000010,6.67939125,338110785,315794639,,,MEDIUM
951173,00000000000000000000361f177b2a896dd631c51d5901a32e250dc869aebe82,2026-05-26,"OCEAN",0x2000e010,6.67939125,338110785,314177582,,,MEDIUM
951929,0000000000000000000049c609df9f8a6ba719129f99068b900271b40f20c9ee,2026-06-01,"OCEAN",0x25484010,7.68628185,389079587,317807294,,,MEDIUM
951972,00000000000000000000c5f8d0d94a95c8f544957aa6343e7eafca8ea9301045,2026-06-01,"OCEAN",0x20000010,7.68628185,389079587,313611492,,,MEDIUM
952057,000000000000000000015fad7fe5dc582ee5b8f06b88ddc071f799fe1e6cc184,2026-06-02,"OCEAN",0x26a52010,7.68628185,389079587,312773891,,,MEDIUM
952229,00000000000000000001c26016e415d7f30005ec8b2b3c11d2f8bdc2f2262c92,2026-06-03,"Unknown",0x21ffc010,7.68628185,389079587,314314439,,,MEDIUM
952680,00000000000000000001e9711cb34edf98e09009a7985d741c79afda5d52bcbe,2026-06-07,"OCEAN",0x2f5fa010,7.68628185,389079587,315388514,,,MEDIUM
952707,0000000000000000000067a64c0b6cd29b686aee85c548c3970bd0f0029994c5,2026-06-07,"OCEAN",0x20800010,7.68628185,389079587,313824627,,,MEDIUM
952819,0000000000000000000122a4569fbf43997b213a4f29ef4a7b400f315ec0f548,2026-06-08,"OCEAN",0x20008010,7.68628185,389079587,312581154,,,MEDIUM
952842,0000000000000000000063e046d7c7952b59a55b0fa1ac0a3dd7ba5b52f3ba3c,2026-06-08,"OCEAN",0x22a90010,7.68628185,389079587,314731320,,,MEDIUM
952878,00000000000000000000b1f2fe1a5c4a32c470097d17c1738779846934982e92,2026-06-08,"OCEAN",0x20032010,7.68628185,389079587,315294807,,,MEDIUM
952908,00000000000000000001f78acd10cc3a3cbce5ebe595f090deb7c6035d8bca69,2026-06-08,"OCEAN",0x2002e010,7.68628185,389079587,314092859,,,MEDIUM
953061,000000000000000000016ec8e4144151c80de02c1c43986aa0107f505556f7b1,2026-06-10,"OCEAN",0x27674010,7.68628185,389079587,313464019,,,MEDIUM
953122,00000000000000000000ce39b083208608b6b186468d365e7de3088e2aa26046,2026-06-10,"OCEAN",0x28000010,7.68628185,389079587,313720617,,,MEDIUM
953253,000000000000000000018b649455ba8b325b0d168c3e4a99da0da1b01dd22b12,2026-06-11,"OCEAN",0x20000010,7.68628185,389079587,317849427,,,MEDIUM
953314,00000000000000000000f4e9e80cf48df12fb12c75e1e0ffe92292bbf088e46a,2026-06-12,"OCEAN",0x2518a010,7.68628185,389079587,312966469,,,MEDIUM
953422,0000000000000000000030ed8b4f44d0ac2eb763a97d6fed744d5294b3e39979,2026-06-12,"OCEAN",0x27512010,7.68628185,389079587,314386320,,,MEDIUM
953488,00000000000000000001654fb3e44e9472ebb642e0701b56f1585c8ba670bf67,2026-06-13,"OCEAN",0x20026010,7.68628185,389079587,314268232,,,MEDIUM
953745,00000000000000000000c9890c4619122c7d20f4e025952f99590796302d6594,2026-06-15,"OCEAN",0x2003c010,5.79892736,293541703,314016477,,,MEDIUM
954321,0000000000000000000049027cd89803bbcb09db5383e2cd52b5ec768d69773b,2026-06-19,"OCEAN",0x20000010,5.79892736,293541703,314747926,,,MEDIUM
954787,000000000000000000009ffdf62ba43ea8ed3a547e4d10e3c444ce510c681b37,2026-06-22,"OCEAN",0x2006a010,5.79892736,293541703,312993685,,,MEDIUM
954811,0000000000000000000193937d7db9431e1f186d17895b24bbbef7fea94db530,2026-06-22,"OCEAN",0x20000010,5.79892736,293541703,312505909,,,MEDIUM
954975,000000000000000000012e8b1886c1435f8ebed14b97b1a75553a307da1170d4,2026-06-23,"OCEAN",0x2000e010,5.79892736,293541703,313863040,,,MEDIUM
955244,000000000000000000022d84bad3f432d2dde7d341c58895b1a0a372b72273b5,2026-06-24,"OCEAN",0x2000e010,5.79892736,293541703,313338262,,,MEDIUM
955400,000000000000000000000dcbfabb98ec5fc61411f8a05634c58c679c004ea84e,2026-06-25,"OCEAN",0x20016010,5.79892736,293541703,312681468,,,MEDIUM
955438,0000000000000000000234a7943f3ab568a5734dbf994b5a39378ab3a9974144,2026-06-26,"OCEAN",0x2691c010,5.79892736,293541703,312752251,,,MEDIUM
955477,000000000000000000009e35d10711d87c5c88bcc126676502487306a1e3c2e4,2026-06-26,"OCEAN",0x3fff0010,5.79892736,293541703,314036566,,,MEDIUM
955805,000000000000000000015d42da113658fa95985acaf0f355491a85b9fe42f32e,2026-06-28,"OCEAN",0x3a620010,7.00862291,354776492,313038113,,,MEDIUM
955941,00000000000000000001432fc781b49e0394ffd204bc007d45511ff9056f8e41,2026-06-29,"OCEAN",0x3fff0010,7.00862291,354776492,317848743,,,MEDIUM
955984,0000000000000000000076cd20630f8deb16fc059c4b9dd557f890fb9ed2af59,2026-06-29,"OCEAN",0x2400c010,7.00862291,354776492,323131661,,,MEDIUM
956216,000000000000000000015f3cb7d4e4e0ec940f481bb160e559ec7f9d1cf534c6,2026-07-01,"OCEAN",0x213c4010,7.00862291,354776492,314355050,,,MEDIUM
956285,000000000000000000016c9b5d1911c345949fc6e46f7661a9212b974dbb32fd,2026-07-02,"OCEAN",0x2000e010,7.00862291,354776492,313358569,,,MEDIUM
956299,0000000000000000000164ea220ea05756b2b61ed2880a848e09b4adb0f7d7bf,2026-07-02,"OCEAN",0x2793e010,7.00862291,354776492,314989570,,,MEDIUM
956437,00000000000000000002125eafc0a10f54654b0716a57ed7442237f2b7d04380,2026-07-03,"OCEAN",0x20060010,7.00862291,354776492,313594278,,,MEDIUM
956510,000000000000000000013e5d855fd2f880e89528107504e8a5206f5291ea62a9,2026-07-03,"OCEAN",0x20000010,7.00862291,354776492,313235800,,,MEDIUM
